EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060450002,US,Mendocino County AQMD,R9,45.8,-8,39.445736,2025-05-15 20:00:00 GMT-8,-123.804314,,,ND,-999,,ND,-999,0,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,,Fort Bragg City Hall,CA,Inactive,5/16/2025 4:00:00 AM,479153876,Permanent,-13781833.1924906,4785722.04103024
060450006,US,Mendocino County AQMD,R9,189.1,-8,39.150478,2025-05-15 20:00:00 GMT-8,-123.206528,,37,37,37,,ND,-999,0,,,,ND,-999,0,,6,37,37,37,1,UG/M3,37,37,37,Ukiah,Ukiah Library,CA,Active,5/16/2025 4:00:00 AM,479154277,Permanent,-13715287.9593672,4743249.233198
060450008,US,Mendocino County AQMD,R9,187.6,-8,39.145733,2025-05-15 20:00:00 GMT-8,-123.202995,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Fort Bragg|Willits|Ukiah|Point Arena,Ukiah District Office,CA,Inactive,5/16/2025 4:00:00 AM,479154278,Permanent,-13714894.6676062,4742568.12466789
060450010,US,Mendocino County AQMD,R9,48.5,-8,39.43734,2025-05-15 20:00:00 GMT-8,-123.78766,,46,46,46,,ND,-999,0,,57.0,46.0,46,46,1,UG/M3,,,ND,-999,0,,46,46,46,Fort Bragg|Point Arena,Fort Bragg High School,CA,Active,5/16/2025 4:00:00 AM,479154279,Permanent,-13779979.2776909,4784511.79776602
060452002,US,Mendocino County AQMD,R9,427,-8,39.411761,2025-05-15 20:00:00 GMT-8,-123.3526,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Willits,Willits Justice Building,CA,Inactive,5/16/2025 4:00:00 AM,479154280,Permanent,-13731548.6200264,4780825.60602106
060470003,US,San Joaquin Valley Unified APCD,R9,0,-8,37.2817,2025-05-15 20:00:00 GMT-8,-120.433601,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Merced,Merced - S. Coffee Ave,CA,Inactive,5/16/2025 4:00:00 AM,479154281,Permanent,-13406607.1377203,4478445.21094793
060510001,US,Great Basin Unified Air Pollution Control District,R9,0,-8,37.645718,2025-05-15 20:00:00 GMT-8,-118.966515,,6,6,6,,ND,-999,0,,3.0,6.0,6,6,1,UG/M3,,,ND,-999,0,,6,6,6,Mammoth Lakes,Mammoth Lakes,CA,Active,5/16/2025 4:00:00 AM,479154282,Permanent,-13243291.8712503,4529497.83452946
060510005,US,Great Basin Unified Air Pollution Control District,R9,0,-8,37.962069,2025-05-15 20:00:00 GMT-8,-119.120278,,9,9,9,,ND,-999,0,,5.0,6.0,6,6,1,UG/M3,1.7,9,9,9,1,UG/M3,9,9,9,Mono Lake|Lee Vining,Lee Vining,CA,Active,5/16/2025 4:00:00 AM,479154283,Permanent,-13260408.6901132,4574068.8195997
060510011,US,Great Basin Unified Air Pollution Control District,R9,0,-8,38.0697,2025-05-15 20:00:00 GMT-8,-118.9477,,6,6,6,,ND,-999,0,,7.0,6.0,6,6,1,UG/M3,,,ND,-999,0,,6,6,6,Mono Lake,Mono Shore,CA,Active,5/16/2025 4:00:00 AM,479154284,Permanent,-13241197.3950311,4589276.76973022
060530002,US,Monterey Bay Unified APCD,R9,200.1,-8,36.48187,2025-05-15 20:00:00 GMT-8,-121.73333,28,39,39,39,26,26,26,1,PPB,,,ND,-999,0,,6,39,39,39,1,UG/M3,39,39,39,Carmel Valley,Carmel Valley AMS,CA,Active,5/16/2025 4:00:00 AM,479154285,Permanent,-13551292.3081695,4367130.13068094
